#Date: 2015-07-30 20:43:11 UTC
#Software: Joomla Platform 11.4.0 Stable [ Brian Kernighan ] 03-Jan-2012 00:00 GMT

#Fields: date	time	duration	message	errorcode	file	line_number
2015-07-30	20:43:11	0.000000	Stage 1 - Analysing Component started (94 fields to process)	-	-	-
2015-07-30	20:43:11	0.023201	Stage 1 - Analysing Component (1 of 94 fields processed).  Completed step: processing field 'Id' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.700391	Stage 1 - Analysing Component (2 of 94 fields processed).  Completed step: processing field 'Name' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.701654	Stage 1 - Analysing Component (3 of 94 fields processed).  Completed step: processing field 'Alias' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.702888	Stage 1 - Analysing Component (4 of 94 fields processed).  Completed step: processing field 'Category' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.704110	Stage 1 - Analysing Component (5 of 94 fields processed).  Completed step: processing field 'Status' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.705325	Stage 1 - Analysing Component (6 of 94 fields processed).  Completed step: processing field 'Access' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.706556	Stage 1 - Analysing Component (7 of 94 fields processed).  Completed step: processing field 'Ordering' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.707706	Stage 1 - Analysing Component (8 of 94 fields processed).  Completed step: processing field 'Featured' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.708794	Stage 1 - Analysing Component (9 of 94 fields processed).  Completed step: processing field 'Hits' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.709879	Stage 1 - Analysing Component (10 of 94 fields processed).  Completed step: processing field 'Language' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.710957	Stage 1 - Analysing Component (11 of 94 fields processed).  Completed step: processing field 'Version' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.712035	Stage 1 - Analysing Component (12 of 94 fields processed).  Completed step: processing field 'Description' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.713114	Stage 1 - Analysing Component (13 of 94 fields processed).  Completed step: processing field 'Intro Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.717314	Stage 1 - Analysing Component (14 of 94 fields processed).  Completed step: processing field 'Images' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.718437	Stage 1 - Analysing Component (15 of 94 fields processed).  Completed step: processing field 'Image' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.719582	Stage 1 - Analysing Component (16 of 94 fields processed).  Completed step: processing field 'Alt Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.720677	Stage 1 - Analysing Component (17 of 94 fields processed).  Completed step: processing field 'Image Caption' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.721767	Stage 1 - Analysing Component (18 of 94 fields processed).  Completed step: processing field 'Intro Image' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.722853	Stage 1 - Analysing Component (19 of 94 fields processed).  Completed step: processing field 'Intro Alt Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.723935	Stage 1 - Analysing Component (20 of 94 fields processed).  Completed step: processing field 'Intro Image Caption' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.728351	Stage 1 - Analysing Component (21 of 94 fields processed).  Completed step: processing field 'Urls' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.729476	Stage 1 - Analysing Component (22 of 94 fields processed).  Completed step: processing field 'Urls' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.730593	Stage 1 - Analysing Component (23 of 94 fields processed).  Completed step: processing field 'Link A' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.731683	Stage 1 - Analysing Component (24 of 94 fields processed).  Completed step: processing field 'Link A Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.732784	Stage 1 - Analysing Component (25 of 94 fields processed).  Completed step: processing field 'URL A Target Window' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.733874	Stage 1 - Analysing Component (26 of 94 fields processed).  Completed step: processing field 'Link B' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.734961	Stage 1 - Analysing Component (27 of 94 fields processed).  Completed step: processing field 'Link B Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.736045	Stage 1 - Analysing Component (28 of 94 fields processed).  Completed step: processing field 'URL B Target Window' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.737127	Stage 1 - Analysing Component (29 of 94 fields processed).  Completed step: processing field 'Link C' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.738212	Stage 1 - Analysing Component (30 of 94 fields processed).  Completed step: processing field 'Link C Text' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.739277	Stage 1 - Analysing Component (31 of 94 fields processed).  Completed step: processing field 'URL C Target Window' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.743798	Stage 1 - Analysing Component (32 of 94 fields processed).  Completed step: processing field 'Created' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.744935	Stage 1 - Analysing Component (33 of 94 fields processed).  Completed step: processing field 'Created By' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.746026	Stage 1 - Analysing Component (34 of 94 fields processed).  Completed step: processing field 'Created By Alias' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.747151	Stage 1 - Analysing Component (35 of 94 fields processed).  Completed step: processing field 'Modified' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.748280	Stage 1 - Analysing Component (36 of 94 fields processed).  Completed step: processing field 'Modified By' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.749401	Stage 1 - Analysing Component (37 of 94 fields processed).  Completed step: processing field 'Published Date' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.750520	Stage 1 - Analysing Component (38 of 94 fields processed).  Completed step: processing field 'Unpublish Date' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.751655	Stage 1 - Analysing Component (39 of 94 fields processed).  Completed step: processing field 'Checked Out' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.752770	Stage 1 - Analysing Component (40 of 94 fields processed).  Completed step: processing field 'Check Out Time' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.756820	Stage 1 - Analysing Component (41 of 94 fields processed).  Completed step: processing field 'Meta Keywords' in component object 'item'	-	-	-
2015-07-30	20:43:11	0.758028	Stage 1 - Analysing Component (42 of 94 fields processed).  Completed step: processing field 'Meta Description' in component object 'item'	-	-	-
