#Date: 2015-08-03 19:59:58 UTC
#Software: Joomla Platform 11.4.0 Stable [ Brian Kernighan ] 03-Jan-2012 00:00 GMT

#Fields: date	time	duration	message	errorcode	file	line_number
2015-08-03	19:59:58	0.000000	Stage 1 - Analysing Component started (94 fields to process)	-	-	-
2015-08-03	19:59:58	0.024129	Stage 1 - Analysing Component (1 of 94 fields processed).  Completed step: processing field 'Id' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.501311	Stage 1 - Analysing Component (2 of 94 fields processed).  Completed step: processing field 'Name' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.502725	Stage 1 - Analysing Component (3 of 94 fields processed).  Completed step: processing field 'Alias' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.504109	Stage 1 - Analysing Component (4 of 94 fields processed).  Completed step: processing field 'Category' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.505501	Stage 1 - Analysing Component (5 of 94 fields processed).  Completed step: processing field 'Status' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.506646	Stage 1 - Analysing Component (6 of 94 fields processed).  Completed step: processing field 'Access' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.507753	Stage 1 - Analysing Component (7 of 94 fields processed).  Completed step: processing field 'Ordering' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.508863	Stage 1 - Analysing Component (8 of 94 fields processed).  Completed step: processing field 'Featured' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.509977	Stage 1 - Analysing Component (9 of 94 fields processed).  Completed step: processing field 'Hits' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.511080	Stage 1 - Analysing Component (10 of 94 fields processed).  Completed step: processing field 'Language' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.512192	Stage 1 - Analysing Component (11 of 94 fields processed).  Completed step: processing field 'Version' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.513299	Stage 1 - Analysing Component (12 of 94 fields processed).  Completed step: processing field 'Description' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.514396	Stage 1 - Analysing Component (13 of 94 fields processed).  Completed step: processing field 'Intro Text' in component object 'item'	-	-	-
2015-08-03	19:59:58	0.518737	Stage 1 - Analysing Component (14 of 94 fields processed).  Completed step: processing field 'Images' in component object 'item'	-	-	-
