#Date: 2015-08-27 08:00:07 UTC
#Software: Joomla Platform 11.4.0 Stable [ Brian Kernighan ] 03-Jan-2012 00:00 GMT

#Fields: date	time	duration	message	errorcode	file	line_number
2015-08-27	08:00:07	0.000000	Stage 1 - Analysing Component started (94 fields to process)	-	-	-
2015-08-27	08:00:07	0.015261	Stage 1 - Analysing Component (1 of 94 fields processed).  Completed step: processing field 'Id' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.993655	Stage 1 - Analysing Component (2 of 94 fields processed).  Completed step: processing field 'Name' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.994479	Stage 1 - Analysing Component (3 of 94 fields processed).  Completed step: processing field 'Alias' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.995304	Stage 1 - Analysing Component (4 of 94 fields processed).  Completed step: processing field 'Category' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.996127	Stage 1 - Analysing Component (5 of 94 fields processed).  Completed step: processing field 'Status' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.997001	Stage 1 - Analysing Component (6 of 94 fields processed).  Completed step: processing field 'Access' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.997892	Stage 1 - Analysing Component (7 of 94 fields processed).  Completed step: processing field 'Ordering' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.998782	Stage 1 - Analysing Component (8 of 94 fields processed).  Completed step: processing field 'Featured' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.999669	Stage 1 - Analysing Component (9 of 94 fields processed).  Completed step: processing field 'Hits' in component object 'config'	-	-	-
2015-08-27	08:00:07	1.000540	Stage 1 - Analysing Component (10 of 94 fields processed).  Completed step: processing field 'Language' in component object 'config'	-	-	-
2015-08-27	08:00:07	0.001428	Stage 1 - Analysing Component (11 of 94 fields processed).  Completed step: processing field 'Version' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.002328	Stage 1 - Analysing Component (12 of 94 fields processed).  Completed step: processing field 'Description' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.003228	Stage 1 - Analysing Component (13 of 94 fields processed).  Completed step: processing field 'Intro Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.006657	Stage 1 - Analysing Component (14 of 94 fields processed).  Completed step: processing field 'Images' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.007614	Stage 1 - Analysing Component (15 of 94 fields processed).  Completed step: processing field 'Image' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.008535	Stage 1 - Analysing Component (16 of 94 fields processed).  Completed step: processing field 'Alt Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.009462	Stage 1 - Analysing Component (17 of 94 fields processed).  Completed step: processing field 'Image Caption' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.010383	Stage 1 - Analysing Component (18 of 94 fields processed).  Completed step: processing field 'Intro Image' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.011291	Stage 1 - Analysing Component (19 of 94 fields processed).  Completed step: processing field 'Intro Alt Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.012207	Stage 1 - Analysing Component (20 of 94 fields processed).  Completed step: processing field 'Intro Image Caption' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.016050	Stage 1 - Analysing Component (21 of 94 fields processed).  Completed step: processing field 'Urls' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.017047	Stage 1 - Analysing Component (22 of 94 fields processed).  Completed step: processing field 'Urls' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.018013	Stage 1 - Analysing Component (23 of 94 fields processed).  Completed step: processing field 'Link A' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.018957	Stage 1 - Analysing Component (24 of 94 fields processed).  Completed step: processing field 'Link A Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.019909	Stage 1 - Analysing Component (25 of 94 fields processed).  Completed step: processing field 'URL A Target Window' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.020848	Stage 1 - Analysing Component (26 of 94 fields processed).  Completed step: processing field 'Link B' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.021801	Stage 1 - Analysing Component (27 of 94 fields processed).  Completed step: processing field 'Link B Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.022722	Stage 1 - Analysing Component (28 of 94 fields processed).  Completed step: processing field 'URL B Target Window' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.023667	Stage 1 - Analysing Component (29 of 94 fields processed).  Completed step: processing field 'Link C' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.024613	Stage 1 - Analysing Component (30 of 94 fields processed).  Completed step: processing field 'Link C Text' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.025533	Stage 1 - Analysing Component (31 of 94 fields processed).  Completed step: processing field 'URL C Target Window' in component object 'config'	-	-	-
2015-08-27	08:00:08	0.029795	Stage 1 - Analysing Component (32 of 94 fields processed).  Completed step: processing field 'Created' in component object 'config'	-	-	-
